Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,29,0,69000,73715.00308675879,15.948706000926904,185723.09461600162,0.0,0.10001852000268256,0.0,69000,133000,143000,172000,178000,179000,186000,186000,186000,186000,186000
NT PLAIN E2E,end_to_end_latency,7,0,4800,5134.2522425722045,3193.0007669998304,7915.13099200165,631.0,0.024142401379957858,0.0,4800,6200,6900,6900,7900,7900,7900,7900,7900,7900,7900
NT RAG E2E,end_to_end_latency,11,0,175000,153682.0680031818,79998.0523510003,195586.44517099857,723.0909090909091,0.03793805931136235,0.0,175000,181000,183000,183000,184000,196000,196000,196000,196000,196000,196000
PLAIN E2E,end_to_end_latency,6,0,35000,34728.04071149979,16853.7088940011,61382.744648999505,761.6666666666666,0.020693486897106737,0.0,36000,36000,42000,42000,61000,61000,61000,61000,61000,61000,61000
RAG E2E,end_to_end_latency,5,0,200000,218729.77186339995,183101.57775300104,266364.95539599855,630.0,0.017244572414255612,0.0,200000,251000,251000,266000,266000,266000,266000,266000,266000,266000,266000
NT PLAIN ITL avg,inter_token_latency_avg,7,0,33,33.37350733432783,32.302747153840066,35.82262060673825,631.0,0.024142401379957858,0.0,33,33,34,34,36,36,36,36,36,36,36
NT RAG ITL avg,inter_token_latency_avg,11,0,34,33.39367804141801,32.12019760605766,34.55144085228312,723.0909090909091,0.03793805931136235,0.0,34,34,34,34,34,35,35,35,35,35,35
PLAIN ITL avg,inter_token_latency_avg,6,0,34,34.11978914303241,32.51433724718287,36.34783121898002,761.6666666666666,0.020693486897106737,0.0,34,34,36,36,36,36,36,36,36,36,36
RAG ITL avg,inter_token_latency_avg,5,0,33,33.54503992954871,32.96306802816693,34.52985733333157,630.0,0.017244572414255612,0.0,33,34,34,35,35,35,35,35,35,35,35
NT PLAIN ITL p95,inter_token_latency_p95,7,0,34,33.704423478463596,32.698007399267226,34.22456140033319,631.0,0.024142401379957858,0.0,34,34,34,34,34,34,34,34,34,34,34
NT RAG ITL p95,inter_token_latency_p95,11,0,38,43.43547850440618,33.91526219984371,58.168610250049824,723.0909090909091,0.03793805931136235,0.0,38,51,54,54,55,58,58,58,58,58,58
PLAIN ITL p95,inter_token_latency_p95,6,0,36,37.18946287507,34.13746500064008,41.04075999930501,761.6666666666666,0.020693486897106737,0.0,37,37,40,40,41,41,41,41,41,41,41
RAG ITL p95,inter_token_latency_p95,5,0,39,39.62922226959563,34.02376099893445,49.81367555046745,630.0,0.017244572414255612,0.0,39,41,41,50,50,50,50,50,50,50,50
NT PLAIN TPS,ms_per_output_token,7,0,8,8.257892822491332,7.603391923152402,9.913431619051629,631.0,0.024142401379957858,0.0,8,8,8,8,10,10,10,10,10,10,10
NT RAG TPS,ms_per_output_token,11,0,200,307.5329551749537,69.02334111389155,1022.6806370935652,723.0909090909091,0.03793805931136235,0.0,200,250,360,360,620,1000,1000,1000,1000,1000,1000
PLAIN TPS,ms_per_output_token,6,0,45,55.158958184906936,24.010766140380717,88.52907650246294,761.6666666666666,0.020693486897106737,0.0,60,60,79,79,89,89,89,89,89,89,89
RAG TPS,ms_per_output_token,5,0,410,400.2242395816136,219.41100114991644,558.2365175396374,630.0,0.017244572414255612,0.0,410,500,500,560,560,560,560,560,560,560,560
NT RAG overhead,retrieval_overhead_vs_nt_plain,11,0,173000,147667.58510645476,69241.09411099926,185762.7497230005,0.0,0.03793805931136235,0.0,173000,175000,179000,179000,180000,186000,186000,186000,186000,186000,186000
RAG overhead,retrieval_overhead_vs_plain,5,0,184000,191857.35736799944,152237.3608550006,228886.2067409991,0.0,0.017244572414255612,0.0,184000,219000,219000,229000,229000,229000,229000,229000,229000,229000,229000
NT PLAIN TTFT,time_to_first_token,7,0,110,111.39851157193854,95.96804099965084,122.21753100129717,0.0,0.024142401379957858,0.0,110,110,120,120,120,120,120,120,120,120,120
NT RAG TTFT,time_to_first_token,11,0,173000,147771.6674100912,69368.33481400026,185858.71776400018,0.0,0.03793805931136235,0.0,173000,175000,179000,179000,180000,186000,186000,186000,186000,186000,186000
PLAIN TTFT,time_to_first_token,6,0,27000,28575.065309833615,12877.651125001648,55563.20073000097,0.0,0.020693486897106737,0.0,28000,28000,31000,31000,56000,56000,56000,56000,56000,56000,56000
RAG TTFT,time_to_first_token,5,0,197000,213877.0150723998,180726.1279710001,257374.9738569986,0.0,0.017244572414255612,0.0,197000,246000,246000,257000,257000,257000,257000,257000,257000,257000,257000
,Aggregated,190,0,180,55920.05086275535,7.603391923152402,266364.95539599855,422.9684210526316,0.6552937517417133,0.0,200,61000,137000,172000,181000,193000,246000,257000,266000,266000,266000
