Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,25,0,105000,76945.15026624,13.06425799975841,219014.8972879997,0.0,0.08502732422819537,0.0,105000,134000,137000,141000,159000,165000,219000,219000,219000,219000,219000
NT PLAIN E2E,end_to_end_latency,10,0,18000,29666.239913599926,1691.10879299933,61197.119763000046,610.3,0.03401092969127815,0.0,18000,58000,59000,60000,61000,61000,61000,61000,61000,61000,61000
NT RAG E2E,end_to_end_latency,15,0,140000,133573.75396626658,16463.99738599939,224689.90581099933,755.2,0.051016394536917226,0.0,140000,148000,156000,166000,172000,225000,225000,225000,225000,225000,225000
NT PLAIN ITL avg,inter_token_latency_avg,10,0,25,25.052782536494032,23.102353044635038,26.450035317919834,610.3,0.03401092969127815,0.0,26,26,26,26,26,26,26,26,26,26,26
NT RAG ITL avg,inter_token_latency_avg,15,0,27,25.345323072637793,19.026406022223657,27.593661311926688,755.2,0.051016394536917226,0.0,27,27,27,27,27,28,28,28,28,28,28
NT PLAIN ITL p95,inter_token_latency_p95,10,0,26,26.565790565077805,25.495500000033644,28.07467840020763,610.3,0.03401092969127815,0.0,27,27,27,27,28,28,28,28,28,28,28
NT RAG ITL p95,inter_token_latency_p95,15,0,28,27.283976689935418,23.166761399806997,29.913794200001572,755.2,0.051016394536917226,0.0,28,28,28,28,29,30,30,30,30,30,30
NT PLAIN TPS,ms_per_output_token,10,0,30,75.24683716719221,5.8549055593016615,218.97490150370317,610.3,0.03401092969127815,0.0,40,120,160,170,220,220,220,220,220,220,220
NT RAG TPS,ms_per_output_token,15,0,180,226.05401358957263,16.18878799016656,520.0562279756081,755.2,0.051016394536917226,0.0,180,240,300,330,480,520,520,520,520,520,520
NT RAG overhead,retrieval_overhead_vs_nt_plain,15,0,136000,128262.60223866696,8522.752770000807,219054.6342250009,0.0,0.051016394536917226,0.0,136000,141000,152000,159000,165000,219000,219000,219000,219000,219000,219000
NT PLAIN TTFT,time_to_first_token,10,0,14000,25988.73231579992,82.43380399926536,58742.53549400055,0.0,0.03401092969127815,0.0,15000,56000,58000,58000,59000,59000,59000,59000,59000,59000,59000
NT RAG TTFT,time_to_first_token,15,0,136000,128347.2064179999,8605.647332999979,219137.52878800005,0.0,0.051016394536917226,0.0,136000,141000,152000,159000,165000,219000,219000,219000,219000,219000,219000
,Aggregated,165,0,220,50535.641346042255,5.8549055593016615,224689.90581099933,422.56969696969696,0.5611803399060894,0.0,220,61000,119000,136000,150000,165000,219000,219000,225000,225000,225000
