Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,14,0,41,30798.222140428934,38.067483001213986,178446.92378400033,0.0,0.05113870378378192,0.0,43,51,32000,104000,116000,178000,178000,178000,178000,178000,178000
PLAIN E2E,end_to_end_latency,10,0,48000,67732.05182330003,8096.223619000739,174046.56627800068,890.0,0.03652764555984423,0.0,60000,77000,90000,116000,174000,174000,174000,174000,174000,174000,174000
RAG E2E,end_to_end_latency,4,0,267000,255719.7976167504,208473.82531199948,279768.72416600055,601.25,0.014611058223937691,0.0,268000,268000,280000,280000,280000,280000,280000,280000,280000,280000,280000
PLAIN ITL avg,inter_token_latency_avg,10,0,34,34.637615742825844,33.95707313809128,36.43702853879278,890.0,0.03652764555984423,0.0,34,35,35,35,36,36,36,36,36,36,36
RAG ITL avg,inter_token_latency_avg,4,0,37,37.22958219664187,36.51475793257499,38.160850419584534,601.25,0.014611058223937691,0.0,37,37,38,38,38,38,38,38,38,38,38
PLAIN ITL p95,inter_token_latency_p95,10,0,36,39.793377540063375,35.50015004939269,67.09207605063054,890.0,0.03652764555984423,0.0,37,38,38,38,67,67,67,67,67,67,67
RAG ITL p95,inter_token_latency_p95,4,0,44,47.07465226210843,37.771401598729426,62.27658829939175,601.25,0.014611058223937691,0.0,45,45,62,62,62,62,62,62,62,62,62
PLAIN TPS,ms_per_output_token,10,0,47,110.91021603681324,27.130754563817536,526.0234846272728,890.0,0.03652764555984423,0.0,68,79,81,180,530,530,530,530,530,530,530
RAG TPS,ms_per_output_token,4,0,490,554.4643800415014,224.0515799244975,792.6761418707205,601.25,0.014611058223937691,0.0,720,720,790,790,790,790,790,790,790,790,790
RAG overhead,retrieval_overhead_vs_plain,4,0,91000,84943.1996162498,40909.93854099908,108693.4285609987,0.0,0.014611058223937691,0.0,99000,99000,109000,109000,109000,109000,109000,109000,109000,109000,109000
PLAIN TTFT,time_to_first_token,10,0,44000,60128.678453000066,5845.035057000132,165567.98558400077,0.0,0.03652764555984423,0.0,50000,68000,79000,114000,166000,166000,166000,166000,166000,166000,166000
RAG TTFT,time_to_first_token,4,0,257000,250511.18520025056,206477.92412499984,274261.41414499946,0.0,0.014611058223937691,0.0,264000,264000,274000,274000,274000,274000,274000,274000,274000,274000,274000
,Aggregated,88,0,68,46350.995784240986,27.130754563817536,279768.72416600055,513.8636363636364,0.3214432809266292,0.0,79,32000,68000,91000,178000,264000,274000,280000,280000,280000,280000
