Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,33,0,74000,76582.95506500012,16.0947060030594,254777.8668050014,0.0,0.11397824512267622,0.0,74000,121000,138000,156000,174000,193000,255000,255000,255000,255000,255000
NT PLAIN E2E,end_to_end_latency,5,0,3300,3072.7812675999303,2400.630223997723,3576.373781001166,337.6,0.017269431079193365,0.0,3300,3300,3300,3600,3600,3600,3600,3600,3600,3600,3600
NT RAG E2E,end_to_end_latency,13,0,162000,147012.3505259233,26301.643666000018,262169.2999570005,605.0,0.044900520805902754,0.0,162000,166000,181000,190000,196000,262000,262000,262000,262000,262000,262000
PLAIN E2E,end_to_end_latency,8,0,44000,40008.2989575003,8905.64364900274,71401.7008339979,862.0,0.027631089726709388,0.0,45000,49000,56000,56000,71000,71000,71000,71000,71000,71000,71000
RAG E2E,end_to_end_latency,7,0,211000,206690.6570007143,139873.38253599955,298535.7073430023,614.1428571428571,0.024177203510870715,0.0,211000,219000,269000,269000,299000,299000,299000,299000,299000,299000,299000
NT PLAIN ITL avg,inter_token_latency_avg,5,0,34,34.069057718229516,32.83879617526143,35.19141497941071,337.6,0.017269431079193365,0.0,34,35,35,35,35,35,35,35,35,35,35
NT RAG ITL avg,inter_token_latency_avg,13,0,33,33.09924836290834,32.37976780357193,34.35282585526198,605.0,0.044900520805902754,0.0,33,33,33,33,34,34,34,34,34,34,34
PLAIN ITL avg,inter_token_latency_avg,8,0,32,32.46523158323614,31.18609559524408,33.6091103522449,862.0,0.027631089726709388,0.0,33,33,33,33,34,34,34,34,34,34,34
RAG ITL avg,inter_token_latency_avg,7,0,33,33.43725332409586,32.93064644844655,34.048816508198755,614.1428571428571,0.024177203510870715,0.0,33,34,34,34,34,34,34,34,34,34,34
NT PLAIN ITL p95,inter_token_latency_p95,5,0,34,34.88195007023023,33.17598010034999,37.97219500047504,337.6,0.017269431079193365,0.0,34,36,36,38,38,38,38,38,38,38,38
NT RAG ITL p95,inter_token_latency_p95,13,0,34,35.90044631869554,33.59306125094008,41.530194000733914,605.0,0.044900520805902754,0.0,34,37,38,38,38,42,42,42,42,42,42
PLAIN ITL p95,inter_token_latency_p95,8,0,34,33.98733501944662,31.85436089988798,36.63657020078971,862.0,0.027631089726709388,0.0,34,34,34,34,37,37,37,37,37,37,37
RAG ITL p95,inter_token_latency_p95,7,0,36,35.93151148551052,33.588805900399166,39.09505095089117,614.1428571428571,0.024177203510870715,0.0,36,37,37,37,39,39,39,39,39,39,39
NT PLAIN TPS,ms_per_output_token,5,0,9,9.075154761541437,8.5431680569314,9.74488768665168,337.6,0.017269431079193365,0.0,9,9,9,10,10,10,10,10,10,10,10
NT RAG TPS,ms_per_output_token,13,0,260,301.30714393043036,25.120958611270314,697.5604169885836,605.0,0.044900520805902754,0.0,260,350,370,430,470,700,700,700,700,700,700
PLAIN TPS,ms_per_output_token,8,0,47,49.29063776970405,21.993119830178866,79.42347145049821,862.0,0.027631089726709388,0.0,54,57,73,73,79,79,79,79,79,79,79
RAG TPS,ms_per_output_token,7,0,300,346.2676246162109,211.71388532496465,541.0379748415862,614.1428571428571,0.024177203510870715,0.0,300,360,430,430,540,540,540,540,540,540,540
NT RAG overhead,retrieval_overhead_vs_nt_plain,13,0,154000,141718.66650800078,16368.538891001663,254797.66190499868,0.0,0.044900520805902754,0.0,154000,158000,174000,186000,193000,255000,255000,255000,255000,255000,255000
RAG overhead,retrieval_overhead_vs_plain,7,0,154000,154035.99423700038,87340.36407500025,233853.97373399974,0.0,0.024177203510870715,0.0,154000,173000,228000,228000,234000,234000,234000,234000,234000,234000,234000
NT PLAIN TTFT,time_to_first_token,5,0,110,113.44875599970692,100.44401900086086,128.56043300052988,0.0,0.017269431079193365,0.0,110,130,130,130,130,130,130,130,130,130,130
NT RAG TTFT,time_to_first_token,13,0,154000,141847.03890353892,16559.83115300114,254926.2223379992,0.0,0.044900520805902754,0.0,154000,158000,174000,186000,193000,255000,255000,255000,255000,255000,255000
PLAIN TTFT,time_to_first_token,8,0,29000,33179.56808174995,6254.262968999683,64206.321253997885,0.0,0.027631089726709388,0.0,37000,43000,49000,49000,64000,64000,64000,64000,64000,64000,64000
RAG TTFT,time_to_first_token,7,0,203000,201384.75636114372,136202.81258500108,291898.37867900135,0.0,0.024177203510870715,0.0,203000,216000,263000,263000,292000,292000,292000,292000,292000,292000,292000
,Aggregated,218,0,330,58119.29222032884,8.5431680569314,298535.7073430023,380.697247706422,0.7529471950528308,0.0,350,71000,121000,150000,186000,219000,262000,269000,299000,299000,299000
