Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,45,0,158000,112016.75135528893,20.6082510012493,242316.07040199923,0.0,0.1646927544932227,0.0,158000,177000,199000,204000,215000,232000,242000,242000,242000,242000,242000
NT PLAIN E2E,end_to_end_latency,17,0,35000,49279.505471118035,17022.08095199967,143345.23192600138,632.5882352941177,0.0622172628085508,0.0,35000,41000,52000,81000,96000,143000,143000,143000,143000,143000,143000
NT RAG E2E,end_to_end_latency,28,0,209000,219484.13824864288,189684.99170799987,277240.53871999966,703.3571428571429,0.1024754916846719,0.0,210000,233000,237000,240000,256000,258000,277000,277000,277000,277000,277000
NT PLAIN ITL avg,inter_token_latency_avg,17,0,37,37.03975252530209,34.824332893785204,41.41561553426496,632.5882352941177,0.0622172628085508,0.0,37,37,38,38,38,41,41,41,41,41,41
NT RAG ITL avg,inter_token_latency_avg,28,0,36,36.0479704923469,32.80874926923179,38.944697847478366,703.3571428571429,0.1024754916846719,0.0,36,37,37,37,38,38,39,39,39,39,39
NT PLAIN ITL p95,inter_token_latency_p95,17,0,70,65.99108012336833,38.42489189955813,117.82385454916954,632.5882352941177,0.0622172628085508,0.0,70,73,77,78,95,120,120,120,120,120,120
NT RAG ITL p95,inter_token_latency_p95,28,0,55,55.23985961435106,36.564444849045685,73.27731905015756,703.3571428571429,0.1024754916846719,0.0,55,61,63,65,70,70,73,73,73,73,73
NT PLAIN TPS,ms_per_output_token,17,0,55,118.90042647146262,27.923441253200455,750.4985964712114,632.5882352941177,0.0622172628085508,0.0,55,91,110,180,190,750,750,750,750,750,750
NT RAG TPS,ms_per_output_token,28,0,290,462.93047127157814,126.76262920152092,1347.4113299157323,703.3571428571429,0.1024754916846719,0.0,320,440,700,710,1200,1200,1300,1300,1300,1300,1300
NT RAG overhead,retrieval_overhead_vs_nt_plain,28,0,110000,132173.9746564647,87568.44444000126,242189.95669899957,0.0,0.1024754916846719,0.0,112000,133000,144000,145000,220000,224000,242000,242000,242000,242000,242000
NT PLAIN TTFT,time_to_first_token,17,0,29000,43677.046715176606,13076.984866000203,141779.88901900064,0.0,0.0622172628085508,0.0,29000,34000,49000,77000,92000,142000,142000,142000,142000,142000,142000
NT RAG TTFT,time_to_first_token,28,0,202000,212682.7837961428,179548.10870800065,269029.0610739994,0.0,0.1024754916846719,0.0,204000,225000,236000,237000,247000,251000,269000,269000,269000,269000,269000
,Aggregated,298,0,1200,75308.2256699116,20.6082510012493,277240.53871999966,408.6979865771812,1.0906320186440082,0.0,1200,107000,181000,198000,218000,237000,248000,258000,277000,277000,277000
