Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,23,0,98000,72674.54749956548,19.93641399894841,156997.84294799974,0.0,0.07955128476828137,0.0,98000,125000,129000,140000,151000,153000,157000,157000,157000,157000,157000
PLAIN E2E,end_to_end_latency,10,0,44000,44856.282302000545,12939.241124000546,89797.19029400076,754.0,0.03458751511664407,0.0,44000,49000,49000,63000,90000,90000,90000,90000,90000,90000,90000
RAG E2E,end_to_end_latency,13,0,215000,233986.00150084615,154795.58467199968,297126.16852299834,606.3846153846154,0.04496376965163729,0.0,215000,273000,286000,286000,292000,297000,297000,297000,297000,297000,297000
PLAIN ITL avg,inter_token_latency_avg,10,0,32,32.57822085511883,30.784617642381896,37.21408193161598,754.0,0.03458751511664407,0.0,32,33,33,33,37,37,37,37,37,37,37
RAG ITL avg,inter_token_latency_avg,13,0,33,33.43938114903386,32.79476583784426,34.28644048212196,606.3846153846154,0.04496376965163729,0.0,33,34,34,34,34,34,34,34,34,34,34
PLAIN ITL p95,inter_token_latency_p95,10,0,34,35.850395179822954,31.983303700872057,45.070811198093,754.0,0.03458751511664407,0.0,35,36,36,39,45,45,45,45,45,45,45
RAG ITL p95,inter_token_latency_p95,13,0,35,37.25063925313197,33.84482499859587,43.262092949044025,606.3846153846154,0.04496376965163729,0.0,35,40,41,42,42,43,43,43,43,43,43
PLAIN TPS,ms_per_output_token,10,0,59,80.59763267049952,22.73784958905556,208.23248640598237,754.0,0.03458751511664407,0.0,66,84,110,140,210,210,210,210,210,210,210
RAG TPS,ms_per_output_token,13,0,410,410.02694082964194,239.74013016381534,689.0565914647409,606.3846153846154,0.04496376965163729,0.0,410,430,460,520,550,690,690,690,690,690,690
RAG overhead,retrieval_overhead_vs_plain,13,0,177000,191039.4121263094,113638.18808200085,256298.5310120021,0.0,0.04496376965163729,0.0,177000,230000,244000,245000,253000,256000,256000,256000,256000,256000,256000
PLAIN TTFT,time_to_first_token,10,0,31000,38829.76876369976,8548.089530002471,81545.52495999815,0.0,0.03458751511664407,0.0,36000,43000,47000,59000,82000,82000,82000,82000,82000,82000,82000
RAG TTFT,time_to_first_token,13,0,213000,229403.72107884663,149315.1051929999,291975.44812300114,0.0,0.04496376965163729,0.0,213000,266000,279000,280000,289000,292000,292000,292000,292000,292000,292000
,Aggregated,151,0,520,73004.59230005372,19.93641399894841,297126.16852299834,408.55629139072846,0.5222714782613255,0.0,520,97000,151000,168000,238000,279000,289000,292000,297000,297000,297000
