Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,27,0,70,70.63876422243656,63.944818000891246,80.48844299992197,0.0,0.09874546482970607,0.0,70,71,72,72,75,76,80,80,80,80,80
NT PLAIN E2E,end_to_end_latency,13,0,59000,80211.52900607699,13953.76448099887,204825.95055499952,537.6153846153846,0.0475441126957844,0.0,59000,66000,96000,179000,180000,205000,205000,205000,205000,205000,205000
PLAIN E2E,end_to_end_latency,14,0,181000,175469.96371135718,43124.9345920005,275428.52445300017,468.35714285714283,0.051201352133921664,0.0,202000,224000,237000,267000,268000,275000,275000,275000,275000,275000,275000
NT PLAIN ITL avg,inter_token_latency_avg,13,0,36,36.08439416263854,34.34926144709669,37.45895330475399,537.6153846153846,0.0475441126957844,0.0,36,36,37,37,37,37,37,37,37,37,37
PLAIN ITL avg,inter_token_latency_avg,14,0,36,36.93760778339952,35.5303863060095,42.16970144900225,468.35714285714283,0.051201352133921664,0.0,36,37,37,38,39,42,42,42,42,42,42
NT PLAIN ITL p95,inter_token_latency_p95,13,0,44,44.29862344608269,36.52659979870805,60.514165799031616,537.6153846153846,0.0475441126957844,0.0,44,46,48,49,50,61,61,61,61,61,61
PLAIN ITL p95,inter_token_latency_p95,14,0,42,46.88511906063338,36.35445379968587,93.28687239976726,468.35714285714283,0.051201352133921664,0.0,42,48,48,49,55,93,93,93,93,93,93
NT PLAIN TPS,ms_per_output_token,13,0,170,172.88724337220768,25.132031512215992,636.1054365062097,537.6153846153846,0.0475441126957844,0.0,170,200,200,210,220,640,640,640,640,640,640
PLAIN TPS,ms_per_output_token,14,0,540,563.2193942930477,57.379783137254876,1223.7696727614662,468.35714285714283,0.051201352133921664,0.0,560,780,920,930,1100,1200,1200,1200,1200,1200,1200
NT PLAIN TTFT,time_to_first_token,13,0,57000,75505.67693638465,10710.85397600109,201932.30778999894,0.0,0.0475441126957844,0.0,57000,62000,92000,171000,172000,202000,202000,202000,202000,202000,202000
PLAIN TTFT,time_to_first_token,14,0,179000,171413.36612085736,38674.60391300119,267307.174986001,0.0,0.051201352133921664,0.0,199000,221000,235000,262000,265000,267000,267000,267000,267000,267000,267000
,Aggregated,162,0,73,42561.4113865783,25.132031512215992,275428.52445300017,334.4691358024691,0.5924727889782364,0.0,75,1100,50000,62000,181000,224000,267000,268000,275000,275000,275000
