Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,36,0,181000,133217.91028552773,28.88685800098756,249217.06866800014,0.0,0.12514753108723178,0.0,182000,199000,224000,227000,238000,247000,249000,249000,249000,249000,249000
NT PLAIN E2E,end_to_end_latency,12,0,47000,72966.09536300001,20089.609696999105,142277.63308000067,553.0,0.04171584369574393,0.0,83000,88000,120000,120000,134000,142000,142000,142000,142000,142000,142000
NT RAG E2E,end_to_end_latency,24,0,239000,244368.67172841678,210677.592252001,292666.73844800063,673.4583333333334,0.08343168739148786,0.0,240000,246000,258000,263000,280000,286000,293000,293000,293000,293000,293000
NT PLAIN ITL avg,inter_token_latency_avg,12,0,36,35.725839338636284,31.514324644632318,38.881931442312215,553.0,0.04171584369574393,0.0,36,36,36,36,38,39,39,39,39,39,39
NT RAG ITL avg,inter_token_latency_avg,24,0,36,36.01799247847036,28.250185277775692,38.63241611189087,673.4583333333334,0.08343168739148786,0.0,36,36,37,37,38,39,39,39,39,39,39
NT PLAIN ITL p95,inter_token_latency_p95,12,0,41,42.778071496210636,38.61319370107594,51.56069000076968,553.0,0.04171584369574393,0.0,43,43,47,47,48,52,52,52,52,52,52
NT RAG ITL p95,inter_token_latency_p95,24,0,48,49.021024275039814,36.64806099905036,63.78008199972118,673.4583333333334,0.08343168739148786,0.0,50,52,54,55,59,63,64,64,64,64,64
NT PLAIN TPS,ms_per_output_token,12,0,120,154.83344847359845,26.367717052005187,366.5448389875728,553.0,0.04171584369574393,0.0,140,150,280,280,300,370,370,370,370,370,370
NT RAG TPS,ms_per_output_token,24,0,440,460.0119186819307,157.9452710358655,893.0667351498128,673.4583333333334,0.08343168739148786,0.0,440,490,660,760,770,780,890,890,890,890,890
NT RAG overhead,retrieval_overhead_vs_nt_plain,24,0,118000,152274.30496883366,61956.57047200075,251742.6950550016,0.0,0.08343168739148786,0.0,119000,124000,236000,237000,248000,249000,252000,252000,252000,252000,252000
NT PLAIN TTFT,time_to_first_token,12,0,43000,68254.08384358312,16402.267642999504,138406.38302200023,0.0,0.04171584369574393,0.0,79000,83000,116000,116000,129000,138000,138000,138000,138000,138000,138000
NT RAG TTFT,time_to_first_token,24,0,234000,238421.1963310001,200362.95349400098,287427.72979800066,0.0,0.08343168739148786,0.0,235000,240000,253000,260000,273000,284000,287000,287000,287000,287000,287000
,Aggregated,240,0,890,90616.28476749238,26.367717052005187,292666.73844800063,379.98333333333335,0.8343168739148786,0.0,16000,129000,223000,227000,243000,253000,280000,286000,293000,293000,293000
