Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,27,0,120,45866.20669833361,16.72363299985591,212996.85477599996,0.0,0.09252536351995812,0.0,120,230,118000,129000,145000,176000,213000,213000,213000,213000,213000
PLAIN E2E,end_to_end_latency,18,0,35000,46676.67585016655,9489.450491999378,96854.86698700151,756.9444444444445,0.061683575679972076,0.0,42000,61000,71000,81000,89000,97000,97000,97000,97000,97000,97000
RAG E2E,end_to_end_latency,9,0,245000,252323.6642731111,190992.57216099976,292810.9080150007,504.77777777777777,0.030841787839986038,0.0,245000,261000,285000,289000,293000,293000,293000,293000,293000,293000,293000
PLAIN ITL avg,inter_token_latency_avg,18,0,35,35.8147719327282,34.498823999995324,37.754238013879636,756.9444444444445,0.061683575679972076,0.0,36,36,37,37,38,38,38,38,38,38,38
RAG ITL avg,inter_token_latency_avg,9,0,38,38.22094677687623,37.11896459677636,38.92852195689682,504.77777777777777,0.030841787839986038,0.0,38,39,39,39,39,39,39,39,39,39,39
PLAIN ITL p95,inter_token_latency_p95,18,0,36,38.538529877759075,35.391271099069854,47.64989800050898,756.9444444444445,0.061683575679972076,0.0,37,38,39,42,46,48,48,48,48,48,48
RAG ITL p95,inter_token_latency_p95,9,0,51,53.50170877240493,37.9222577512337,70.7273913994868,504.77777777777777,0.030841787839986038,0.0,51,59,66,71,71,71,71,71,71,71,71
PLAIN TPS,ms_per_output_token,18,0,61,79.20489106729976,19.977790509472374,359.33542195881967,756.9444444444445,0.061683575679972076,0.0,64,88,94,97,120,360,360,360,360,360,360
RAG TPS,ms_per_output_token,9,0,470,606.8669737295176,347.02028941899925,1428.345892756101,504.77777777777777,0.030841787839986038,0.0,470,470,480,1000,1400,1400,1400,1400,1400,1400,1400
RAG overhead,retrieval_overhead_vs_plain,9,0,160000,167921.97111155675,106762.03310000166,210312.4252920006,0.0,0.030841787839986038,0.0,160000,176000,199000,204000,210000,210000,210000,210000,210000,210000,210000
PLAIN TTFT,time_to_first_token,18,0,29000,39854.010623777765,5231.106703000478,81431.06108100073,0.0,0.061683575679972076,0.0,35000,50000,61000,65000,80000,81000,81000,81000,81000,81000,81000
RAG TTFT,time_to_first_token,9,0,240000,248078.85175855536,186918.91374700028,290469.3059389992,0.0,0.030841787839986038,0.0,240000,257000,279000,284000,290000,290000,290000,290000,290000,290000,290000
,Aggregated,171,0,140,51578.430852691956,16.72363299985591,292810.9080150007,424.9824561403509,0.5859939689597348,0.0,140,29000,80000,102000,210000,245000,285000,290000,293000,293000,293000
